date,CNY,ARS,KMF,LBP,KRW,TRY,LKR,BGN,RUB,KES,GIP,UGX,CRC,DJF,UYU,SCR,GNF,FJD,NPR,SLL,GHS,CLP,EUR,SEK,TJS,TZS,STN,PYG,ZAR,DOP,YER,FKP,MDL,AZN,SGD,JOD,BAM,MAD,HUF,ETB,AED,AOA,DZD,PKR,GBP,HKD,GMD,SAR,VND,SVC,TTD,NOK,IRR,ZWL,GYD,JMD,UZS,MNT,PLN,LSL,TMT,KYD,AFN,BYN,CVE,CZK,NGN,BHD,ANG,MKD,LAK,ALL,MYR,GTQ,NIO,BOB,ZMW,ERN,COP,DKK,IDR,OMR,BSD,CDF,TOP,WST,UAH,MRU,BTN,BDT,QAR,SBD,MVR,BZD,SYP,VUV,JPY,KZT,VES,BND,AMD,BWP,MGA,MUR,HNL,CUC,INR,MOP,CUP,PHP,USD,IQD,TWD,THB,MWK,MXN,RON,PEN,XOF,ILS,CHF,XDR,KWD,RSD,BMD,XAF,XAU,KHR,BIF,XAG,LYD,XCD,ISK,XPF,PGK,SHP,EGP,SZL,LRD,TND,KPW,MZN,NAD,CAD,MMK,PAB,BRL,RWF,SRD,AUD,SOS,SDG,GEL,NZD,KGS
2021-01-01,7.93496521,102.149706,491.96774988,1831.68055604,1321.27167604,9.03044301,225.08699149,1.95583,89.914342,132.43028201,0.90044062,4439.25539452,739.39484634,215.99839801,51.46142503,25.72948954,12161.89281269,2.50269264,142.6978187,12417.6561039,7.13231102,863.28644524,1.0,10.00020396,13.73000929,2817.67524025,24.77727883,8399.9472738,17.86920836,70.66832216,304.21513096,0.90044062,20.912533,2.0643352,1.60645792,0.86146701,1.95583,10.83481802,361.27505723,47.73562604,4.4622533,795.320745,160.52426503,195.22127624,0.90044062,9.41603608,62.93223533,4.55641929,28042.59658477,10.63164502,8.23018355,10.41042083,51303.00548863,,255.46328166,173.58240074,12729.75802279,3459.04058197,4.54411937,17.86920836,4.26480841,0.99633701,94.25105407,3.17456343,110.26999993,26.14905807,463.49543366,0.45685697,2.17493077,61.05347246,11274.64626365,122.57750997,4.88751684,9.45985463,42.42445023,8.36751988,25.72249684,18.22567717,4150.00314743,7.39830522,17099.61882289,0.46718486,1.21504515,2393.3815935,2.75269909,3.05209562,34.42824334,46.53132371,88.77002717,102.88668846,4.42276433,9.72033355,18.72384497,2.4459651,623.10632044,132.73489657,125.41147544,511.97028019,1259280.17709693,1.60645792,634.96949896,13.110943,4747.80279968,48.19930476,29.27397896,1.21504515,88.77002717,9.69851716,32.19869634,58.34645857,1.21504515,1444.56872177,34.12889045,36.45008675,936.2779265,24.17135671,4.83319686,4.39846286,655.95699984,3.90669368,1.08331816,0.84135801,0.36963692,116.74558604,1.21504515,655.95699984,0.00063989,4895.83296587,2363.51937538,0.04593343,1.62663635,3.28368569,155.05099093,119.33174219,4.26706025,0.90044062,19.12157862,17.86920836,198.92721328,3.24749142,1093.61083222,90.63971808,17.86920836,1.54586538,1623.71112946,1.21504515,6.31088315,1196.66625757,17.19615276,1.58398063,700.09804702,67.1312291,3.99118897,1.6922507,100.4232481
2021-01-02,7.96080148,102.47492877,491.96774982,1837.08820727,1323.08464168,9.05666707,225.75152286,1.95583,90.20743943,132.82115904,0.89107656,4452.4036448,741.58058257,216.90638461,51.61334247,25.80548293,12198.24935889,2.48554601,143.15499643,12204.4025066,7.15336777,865.97888514,1.0,10.04261188,13.77054528,2824.83996744,24.30108608,8499.58329606,17.91655141,70.87696906,305.11337851,0.89107656,20.8451959,2.07042952,1.61053284,0.86401031,1.95583,10.86680746,361.79050353,47.87656205,4.47542716,797.668843,160.94842046,195.79769089,0.89107656,9.44771378,63.11804372,4.56987116,28122.7362213,10.66303271,8.25448646,10.45693265,51214.60815324,,255.9031485,174.09478802,12767.55623063,3473.16577537,4.55722665,17.91655141,4.27739923,0.99928619,93.97711901,3.14834918,110.26999996,26.16081646,464.54156333,0.45820575,2.17844005,61.23377682,11304.03658958,122.95692363,4.90194649,9.48778921,42.54971247,8.39222927,25.79843663,18.27948465,4168.69215828,7.41936432,17035.4239174,0.46856412,1.21863231,2402.43760399,2.76709516,3.10771174,34.54551801,46.66869765,89.05443014,103.19026875,4.43582161,9.74903049,18.77521187,2.45318792,624.94588696,132.42201466,125.49311382,513.47996001,1262997.91407153,1.61053284,636.84503029,13.14965615,4761.77470813,48.36111234,29.36041055,1.21863231,89.05443014,9.73114519,32.29375621,58.51844745,1.21863231,1448.83350682,34.22625217,36.5589391,939.04174627,24.1710812,4.88291644,4.39761118,655.95699976,3.91309923,1.08687551,0.84384195,0.37064595,117.29014964,1.21863231,655.95699976,0.00064179,4910.25382114,2370.39838292,0.04609236,1.63143969,3.29130162,155.50876964,119.33174222,4.275936,0.89107656,19.1780332,17.91655141,199.61138525,3.25708065,1096.76960523,90.92215858,17.91655141,1.55144307,1628.33489894,1.21863231,6.32793079,1200.18473846,17.24685341,1.58389517,702.16442206,67.17986219,3.99325185,1.69612645,100.71971794
2021-01-03,7.92991106,102.17158631,491.96774979,1831.7072207,1318.98487967,9.03724262,225.09027757,1.95583,89.70012304,132.79087081,0.88858911,4435.20881002,741.28521999,216.28029659,51.37970872,25.88734605,12173.00501319,2.47826563,142.86572292,12176.02963061,7.07631525,863.37491658,1.0,10.04545705,13.73021019,2815.92939601,24.53319617,8383.47333282,17.81611158,70.78364275,303.08346449,0.88858911,20.78474195,2.06436506,1.60584696,0.86147955,1.95583,10.81299946,360.66793606,47.73632756,4.46231825,795.33240356,161.04919309,194.6816919,0.88858911,9.42042667,62.93316564,4.55648562,28208.99374823,10.63179979,8.20780875,10.48328399,51063.47711651,,255.14926056,171.82541823,12730.15897968,3463.84817575,4.54387038,17.81611158,4.26487036,0.99635732,93.68416706,3.13557763,110.26999999,26.08732438,463.18088184,0.45686363,2.17205922,60.96548073,11328.34393478,122.59677241,4.88760621,9.46924722,42.42508077,8.37678549,25.80522586,18.22594249,4150.74442339,7.40139503,17088.12702621,0.46719166,1.21506283,2395.6016573,2.7590218,3.09887022,34.71050995,46.53200109,88.87447772,103.01607221,4.42282871,9.72047475,18.9863783,2.44831537,623.11536765,132.02906147,124.56794272,511.86324214,1259298.48646869,1.60584696,634.97965739,13.1111397,4747.82706768,48.64353858,29.29793647,1.21506283,88.87447772,9.70303947,32.19916507,58.36214383,1.21506283,1444.58975106,34.15904905,36.45648851,939.47160382,24.16644679,4.86980535,4.37683368,655.9569999,3.90913278,1.08151046,0.84137026,0.37194493,116.94560706,1.21506283,655.9569999,0.00063996,4903.5194878,2358.16615137,0.04603953,1.62459163,3.28067702,155.05327131,119.33174225,4.26341142,0.88858911,19.09374721,17.81611158,199.02736621,3.27659018,1093.55655375,90.65593696,17.81611158,1.54239547,1617.86970388,1.21506283,6.31111671,1180.22654976,17.12289071,1.56563724,700.10772314,66.98308669,3.98155528,1.69127504,100.42470137
2021-01-04,7.9204349,103.78601941,491.96774998,1847.42016304,1330.66623832,9.07316784,229.45505498,1.95583,91.0254172,133.93357446,0.90424855,4508.07233954,749.42370601,217.91382556,51.89499103,25.99025586,12275.63043022,2.49792259,143.9971839,12407.84626123,7.18737421,861.76810641,1.0,10.10739126,13.84797895,2841.53931877,24.48806554,8480.34000646,18.06172074,71.29030604,306.83076399,0.90424855,21.05250229,2.08207373,1.61895968,0.86886958,1.95583,10.86000115,360.86891896,48.29930739,4.50059738,802.08571737,162.13928271,196.23817272,0.90424855,9.50212823,63.45990714,4.59557254,28336.93566953,10.7230026,8.28881431,10.500467,51545.28379569,,256.89854907,174.4669808,12844.96102977,3497.75255802,4.54638621,18.06172074,4.29080436,1.00490018,94.69973299,3.17145447,110.26999998,26.16944,483.85145078,0.46078274,2.19279173,61.53550371,11379.59651919,123.71906702,4.9093877,9.55337765,42.7888239,8.43547277,25.9702266,18.38229018,4204.53659292,7.4404605,17044.18278178,0.47119937,1.22548601,2415.08004147,2.77706555,3.09148545,34.84781663,45.12045528,89.57834148,103.88266489,4.46076908,9.85509477,18.85100788,2.47039802,628.47078594,132.81205182,126.44685151,516.22508333,1354911.28026792,1.61895968,640.40073676,13.23094435,4773.5240648,48.28455793,29.56091165,1.22548601,89.57834148,9.78719207,32.47537932,58.86907101,1.22548601,1793.00278157,34.42251626,36.66467548,943.19798704,24.43772339,4.86961368,4.43979459,655.95699989,3.93362995,1.08020546,0.84670647,0.37223683,117.52809921,1.22548601,655.95699989,0.00063262,4958.60971889,2383.90560476,0.04502771,1.63927022,3.31161003,156.02577973,119.33174225,4.29994793,0.90424855,19.28482483,18.06172074,201.36379258,3.27627243,1102.98891068,91.43761348,18.06172074,1.56605914,1629.04311647,1.22548601,6.43199936,1210.36891696,17.33649938,1.60008343,709.55212369,67.70811721,4.0410426,1.71042155,101.34553969
2021-01-05,7.93457569,104.25248519,491.96775015,1853.35836684,1337.1383929,9.08522401,231.68996765,1.95583,90.98772336,134.49017076,0.90264082,4538.4844823,752.05519934,218.59707407,51.85591178,26.05095427,12326.73835578,2.50780072,144.58459909,12471.20003133,7.21778319,860.19610681,1.0,10.06311215,13.89249262,2850.92426461,24.73458169,8513.94270907,18.44534235,71.60731058,307.8484466,0.90264082,21.11183104,2.0887661,1.6201879,0.87166241,1.95583,10.85060706,359.12645804,48.39152045,4.51506375,804.92294894,162.59466953,197.38614964,0.90264082,9.53216506,63.55529828,4.6103442,28445.11339385,10.75746979,8.31690528,10.43722024,51815.81795686,,257.80555454,175.0779539,12840.68913668,3499.63426168,4.53350102,18.44534235,4.31528248,1.00812859,96.22887232,3.16939082,110.27,26.16285618,484.89553465,0.46226384,2.20017085,61.71812512,11433.60081479,123.65821242,4.93937802,9.59013415,42.91064692,8.47623556,26.06484518,18.44137678,4224.74125598,7.43935509,17098.61891744,0.47271396,1.22942512,2423.11214659,2.78962832,3.10295753,34.98387029,45.13840771,89.94376305,104.28477406,4.47510743,9.88742883,18.97379578,2.47997649,630.48602224,133.6459147,126.26400458,518.7415847,1368409.73890402,1.6201879,642.46508994,13.26916805,4751.07044311,48.32503055,29.67883799,1.22942512,89.94376305,9.81813001,32.57976565,59.1008242,1.22942512,1799.33430733,34.38831849,36.78787708,946.99282679,24.49382668,4.87137562,4.4535712,655.9570002,3.93775912,1.08007543,0.84910167,0.37317524,117.61222585,1.22942512,655.9570002,0.00063179,4972.44975335,2390.74713492,0.04475398,1.64527527,3.32204293,156.14120052,119.33174233,4.30111337,0.90264082,19.30415459,18.44534235,202.44597218,3.28769698,1106.55954375,91.80890152,18.44534235,1.56173014,1632.43375071,1.22942512,6.51471805,1194.7401459,17.38645675,1.58613227,711.22348924,67.9496706,4.06273733,1.69776431,102.3143941
2021-01-06,7.94246151,104.35991612,491.9677498,1852.94606408,1337.65580455,8.97083312,231.69810584,1.95583,90.80267542,134.54660785,0.90418325,4548.54614015,751.18798361,218.53405161,52.04689004,26.02911663,12313.14385024,2.49261099,144.57656939,12718.65455895,7.21220556,857.25398911,1.0,10.05941731,13.88938562,2850.66288936,24.75304438,8506.73105394,18.57362876,71.52699979,307.77244829,0.90418325,21.12931723,2.08830155,1.62208337,0.8714685,1.95583,10.87748155,358.59107426,48.30257421,4.51405932,805.67901074,162.51886482,197.33920816,0.90418325,9.52986512,63.5406215,4.60931857,28424.24850492,10.75507666,8.32827916,10.34985273,51778.57814842,,256.91052666,175.38286651,12837.3008714,3490.60394877,4.52511584,18.57362876,4.30207099,1.00791105,96.14430584,3.1547296,110.26999995,26.16826109,468.24711039,0.46216101,2.20017246,61.65539051,11418.06518219,123.63111976,4.94011795,9.58189078,42.91712709,8.46107645,26.04571525,18.43727427,4221.94362289,7.43940074,17094.12795816,0.4726088,1.22915162,2422.36101407,2.77430247,3.07486559,34.75060323,45.22725742,89.9387679,104.22041081,4.47411189,9.88453657,18.92908817,2.47775072,630.34145564,132.79971446,126.91631414,514.87355545,1408509.65807481,1.62208337,642.34295938,13.26479876,4749.95454663,48.3296097,29.65570945,1.22915162,89.9387679,9.81576108,32.57251787,59.09927063,1.22915162,1793.5426629,34.44244369,36.79035702,946.04649196,24.23684039,4.87159735,4.45888878,655.957,3.91379963,1.08298772,0.8494937,0.37318592,117.58887752,1.22915162,655.957,0.00064422,4971.63900783,2390.95793951,0.04567145,1.64492849,3.32180866,156.41648336,119.33174223,4.31279578,0.90418325,19.29663043,18.57362876,204.06068555,3.2812242,1106.31621363,91.69221701,18.57362876,1.55936927,1633.41552644,1.22915162,6.5602634,1194.57857639,17.39587399,1.57866431,709.11700363,67.97252344,4.0622611,1.68802691,102.24300554
2021-01-07,7.94386741,104.24325698,491.96775017,1848.82717761,1341.97713404,9.05091144,230.56355486,1.95583,91.889384,134.29163343,0.90515608,4536.90553728,749.71231421,218.03247196,51.86534938,25.98173619,12301.57612325,2.49499762,144.76144511,12539.16101119,7.20616581,871.73768081,1.0,10.05920545,13.85853752,2844.05331266,24.67588551,8486.00782319,18.91495353,71.45608477,307.08789907,0.90515608,21.07638546,2.08365976,1.62595974,0.86953132,1.95583,10.80729334,359.56661939,48.07428087,4.50402508,801.74812051,162.34279426,196.4761201,0.90515608,9.5087596,63.41071652,4.59907258,28410.20263021,10.73116935,8.31695386,10.35124681,51624.86474322,,256.87623506,174.5125297,12813.6724879,3490.79326672,4.51581255,18.91495353,4.30470031,1.0056634,94.65470312,3.14514557,110.26999999,26.19840203,467.19035248,0.46113368,2.19522643,61.47667705,11392.57796481,123.35559594,4.9519459,9.55923479,42.75260265,8.4401836,26.01711186,18.39629032,4252.06171518,7.43763267,17137.21752106,0.47155824,1.22641936,2415.75442612,2.76486697,3.06198441,34.6734638,44.52431434,90.05377614,104.01666109,4.46416645,9.86256942,18.81330223,2.47199589,628.95730805,132.04897658,127.34008286,514.23065856,1496753.05187433,1.62595974,640.91112467,13.235346,4700.04683107,48.30777656,29.58856444,1.22641936,90.05377614,9.79402239,32.5001129,59.02670813,1.22641936,1791.56735625,34.3743429,36.88175447,944.79556284,24.43833585,4.86988547,4.44454348,655.95700032,3.90189873,1.08443523,0.84885025,0.3720731,117.54537943,1.22641936,655.95700032,0.00064112,4970.68795823,2385.52521893,0.04521845,1.64123982,3.31442252,155.2639566,119.3317423,4.30699768,0.90515608,19.25565063,18.91495353,204.09337362,3.28038204,1103.84449108,91.48860723,18.91495353,1.56041414,1628.69871816,1.22641936,6.62499219,1196.78285625,17.35709304,1.58145241,707.62125712,67.79627889,4.05322721,1.69199243,102.01499705
2021-01-08,7.93489019,104.29016818,491.96775004,1847.41574606,1338.78565416,9.02095918,230.38761284,1.95583,90.79279231,134.24510815,0.90213707,4528.09777069,749.32801164,217.85558136,52.07515337,25.95141683,12581.69903664,2.50453259,144.43498361,12531.92558379,7.18557603,867.94837462,1.0,10.06104354,13.84797392,2841.73098899,24.42307194,8479.6802095,18.69894276,71.43503439,306.84981584,0.90213707,21.06853045,2.08206917,1.62185959,0.8688675,1.95583,10.80534538,359.38091489,48.16005098,4.50058662,793.45361957,162.00774745,196.52582697,0.90213707,9.50414343,63.35035335,4.59556156,28311.96929766,10.72297697,8.31936342,10.30490114,51602.59952886,,256.65338826,174.3823266,12805.17883765,3492.38254073,4.50897402,18.69894276,4.28945406,1.00489612,94.61545194,3.13964511,110.26999997,26.15400302,468.04914711,0.46078164,2.19360646,61.43440655,11388.3009669,123.50994833,4.94118407,9.55199799,42.8990725,8.4343014,26.01463846,18.38224623,4255.77982103,7.43695317,17207.22143206,0.47119825,1.22548308,2414.17023731,2.76036436,3.05428658,34.64709648,44.47963598,89.85068964,103.93366043,4.46075842,9.88290305,18.79923294,2.47028975,628.46155338,132.34043998,127.29108255,513.76741466,1526867.20726461,1.62185959,640.42262515,13.22537369,4619.50000923,48.24475965,29.56407069,1.22548308,89.85068964,9.78926773,32.47530167,58.9276616,1.22548308,1790.62320715,34.31972269,36.88655494,945.62641713,24.45032101,4.86958063,4.43368443,655.95699997,3.90228116,1.08362515,0.84780468,0.37201866,117.60327173,1.22548308,655.95699997,0.0006599,4967.09367689,2384.69382378,0.04781273,1.64000173,3.31189329,156.70482314,119.33174221,4.33021352,0.90213707,19.23559318,18.69894276,204.50699195,3.27929636,1103.00696351,91.41836822,18.69894276,1.55591227,1627.0513452,1.22548308,6.59876571,1194.53555069,17.34383368,1.57557233,707.12433512,67.76915391,4.05000249,1.68979811,101.93697576
2021-01-09,7.91361004,104.01900325,491.9677499,1842.31560824,1335.8781466,8.98745278,230.06111884,1.95583,90.2402193,133.96542331,0.90078834,4519.79261943,753.63228868,217.53334936,51.94917796,26.72327961,12358.11521165,2.49277611,144.09187371,12442.39011182,7.11053511,870.17545561,1.0,10.07162167,13.80972915,2833.02505177,24.546703,8383.35901475,18.69361829,71.17917502,303.48861637,0.90078834,20.946817,2.0775662,1.62020788,0.86646883,1.95583,10.78293456,359.42259691,48.0531532,4.4881619,797.31289081,162.49533729,195.69767041,0.90078834,9.48377401,63.18238858,4.58287465,28363.80502523,10.69337418,8.30585022,10.28328132,51359.18118365,,257.22894354,172.8619386,12783.15854044,3489.6268464,4.51138862,18.69361829,4.27734967,1.00212992,94.19779739,3.13416919,110.26999999,26.16530079,466.37219126,0.45950956,2.18450461,61.56584713,11393.87941187,123.78660274,4.92802895,9.52693195,42.79057007,8.41413349,26.04062512,18.33149859,4242.98518915,7.43754999,17103.27772363,0.46989741,1.22209991,2410.77668114,2.71279335,3.09389293,34.65558504,44.54545549,89.63724647,103.67419377,4.44844366,9.82396432,19.04577622,2.46304494,626.71974371,131.37829783,127.03536726,512.3914827,1607690.67552281,1.62020788,638.90111872,13.1886324,4630.30846915,48.53009763,29.45347931,1.22209991,89.63724647,9.76828723,32.38564751,58.77652865,1.22209991,1784.16677963,34.27945417,36.67957368,945.0237433,24.45627677,4.87148721,4.40542316,655.95699977,3.89528212,1.08212098,0.84564506,0.37189278,117.55516903,1.22209991,655.95699977,0.00066096,4950.89573139,2373.27048551,0.04806685,1.63547258,3.30067174,156.84159287,119.33174227,4.29488293,0.90078834,19.166136,18.69361829,203.60941159,3.28307402,1099.88993927,91.27740646,18.69361829,1.55120942,1625.04516071,1.22209991,6.62223078,1187.81751596,17.2360589,1.57473057,711.80596241,67.35309397,4.03308032,1.68871383,101.65560096
2021-01-10,7.91710587,104.07111344,491.96774977,1843.11619778,1336.55304156,9.0125198,230.16109331,1.95583,90.26406263,134.0010435,0.90119313,4522.39318494,754.71650851,217.62793641,51.99820029,26.83460697,12336.54749421,2.49385936,144.13281482,12443.0840977,7.10620187,870.73865789,1.0,10.07920766,13.81573025,2833.44786722,24.57391736,8378.88633352,18.69333253,71.19436597,302.48389987,0.90119313,20.92816762,2.07846902,1.62109602,0.86684536,1.95583,10.78598117,359.39853779,48.05606169,4.49011226,797.65936801,162.67038495,195.71710098,0.90119313,9.4837462,63.21011935,4.58486616,28390.85155664,10.69802105,8.30954126,10.27914884,51381.44139348,,257.34054103,172.81501045,12788.7167026,3490.79216186,4.51224747,18.69333253,4.27920842,1.00256228,94.23998377,3.13031978,110.26999996,26.17400657,466.49795901,0.45970925,2.18545372,61.68838582,11398.96380115,123.84745291,4.93011762,9.53098855,42.81913439,8.41789569,26.06779724,18.33946465,4239.41643629,7.44083932,17047.97119151,0.47010161,1.22263098,2411.82311425,2.71397378,3.09523715,34.67975104,44.52867319,89.66271525,103.72040766,4.45037676,9.8282334,19.15287844,2.46397794,626.99208862,131.43541036,127.07418891,512.40883744,1608389.38521726,1.62109602,639.17875712,13.1943636,4633.78745883,48.59964967,29.46239293,1.22263098,89.66271525,9.76825859,32.39972089,58.80539442,1.22263098,1784.95543431,34.30940987,36.89051682,945.68715111,24.47303665,4.87389735,4.40381478,655.95699996,3.90021544,1.08273283,0.84601254,0.37213682,117.59504118,1.22263098,655.95699996,0.0006612,4950.19654329,2373.81950128,0.04808775,1.63618329,3.30117258,156.92222607,119.33174221,4.29713893,0.90119313,19.13744156,18.69333253,203.69687394,3.28399357,1100.36788139,91.31723831,18.69333253,1.55088592,1625.97348344,1.22263098,6.62621366,1188.04320663,17.21623313,1.57525313,712.56842011,67.38229541,4.03483292,1.68970909,101.69977602
